0  29 ， 0.997111 
0  1095 １月 0.002889 
122 zhan3-wang4 133 展望 1.000000 
123 zhi4-ding4 134 制定 1.000000 
124 kua4-shi4-ji4 135 跨世纪 1.000000 
125 xing2-dong4 136 行动 1.000000 
126 gang1-ling3 137 纲领 1.000000 
127 zhe4 138 这 1.000000 
128 zhong1 139 中 0.972789 
128 zhong1 4783 终 0.020408 
128 zhong1 7841 忠 0.006803 
129 gai3-ge2 140 改革 1.000000 
130 kai1-fang4 141 开放 1.000000 
131 xian4-dai4-hua4 142 现代化 1.000000 
132 xiang4-qian2 143 向前 1.000000 
133 mai4-jin4 144 迈进 1.000000 
134 guo2-min2-jing1-ji4 145 国民经济 1.000000 
135 gao1 146 高 1.000000 
136 zeng1-zhang3 147 增长 1.000000 
137 di1 148 低 0.714286 
137 di1 5026 滴 0.285714 
138 tong1-zhang4 149 通胀 1.000000 
139 tai4-shi4 150 态势 1.000000 
140 nong2-ye4-sheng1-chan3 151 农业生产 1.000000 
141 zai4-ci4 152 再次 1.000000 
142 huo4-de2 153 获得 1.000000 
143 hao3 154 好 1.000000 
144 shou1-cheng2 155 收成 1.000000 
145 qi3-ye4 156 企业 1.000000 
146 shen1-hua4 157 深化 1.000000 
147 sheng1-huo2 158 生活 1.000000 
148 jin4-yi2-bu4 159 进一步 1.000000 
149 gai3-shan4 160 改善 1.000000 
150 dui4-wai4 161 对外 1.000000 
151 jing1-ji4 162 经济 1.000000 
152 ji4-shu4 163 技术 0.947368 
152 ji4-shu4 6461 记述 0.052632 
153 he2-zuo4 164 合作 1.000000 
154 yv3 165 与 0.973262 
154 yv3 3656 语 0.010695 
154 yv3 5022 雨 0.016043 
155 jiao1-liu2 166 交流 1.000000 
156 bu2-duan4 167 不断 1.000000 
157 kuo4-da4 168 扩大 1.000000 
158 min2-zhu3 169 民主 1.000000 
159 fa3-zhi4 170 法制 0.857143 
159 fa3-zhi4 4553 法治 0.142857 
160 jing1-shen2-wen2-ming2 171 精神文明 1.000000 
161 qi2-ta1 172 其他 0.894737 
161 qi2-ta1 5820 其它 0.105263 
162 ge4-xiang4 173 各项 1.000000 
163 dou1 174 都 1.000000 
164 jin4-zhan3 175 进展 1.000000 
165 wo3-men5 176 我们 1.000000 
166 guan1-zhu4 177 关注 1.000000 
167 zui4-jin4 178 最近 1.000000 
168 yi1-ge4 179 一个 1.000000 
169 shi2-qi1 180 时期 0.857143 
169 shi2-qi1 7107 十七 0.142857 
170 yi4-xie1 181 一些 1.000000 
171 di4-qv1 182 地区 1.000000 
172 fa1-sheng1 183 发生 1.000000 
173 jin1-rong2 184 金融 1.000000 
174 feng1-bo1 185 风波 1.000000 
175 xiang1-xin4 186 相信 1.000000 
176 zhe4-xie1 187 这些 1.000000 
177 nu3-li4 188 努力 1.000000 
178 yi3-ji2 189 以及 1.000000 
179 you3-guan1 190 有关 1.000000 
180 qing2-kuang4 191 情况 1.000000 
181 hui4 192 会 0.965517 
181 hui4 6815 汇 0.034483 
182 zhu2-bu4 193 逐步 1.000000 
183 de2-dao4 194 得到 1.000000 
184 huan3-jie3 195 缓解 1.000000 
185 zong3-de5-lai2-shuo1 196 总的来说 1.000000 
186 qvan2-jv2 197 全局 1.000000 
187 wai4-jiao1 198 外交 1.000000 
188 gong1-zuo4 199 工作 1.000000 
189 qv3-de2 200 取得 1.000000 
190 cheng2-guo3 201 成果 1.000000 
191 gao1-ceng2 202 高层 1.000000 
192 hu4-fang3 203 互访 1.000000 
193 mei3-guo2 204 美国 1.000000 
194 e2-luo2-si1 205 俄罗斯 1.000000 
195 fa3-guo2 206 法国 1.000000 
196 ri4-ben3 207 日本 1.000000 
197 deng3 208 等 1.000000 
198 da4-guo2 209 大国 1.000000 
199 qve4-ding4 210 确定 1.000000 
200 shuang1-fang1 211 双方 1.000000 
201 guan1-xi4 212 关系 1.000000 
202 wei4-lai2 213 未来 1.000000 
203 mu4-biao1 214 目标 1.000000 
204 zhi3-dao3 215 指导 1.000000 
205 zhou1-bian1 216 周边 1.000000 
206 guang3-da4 217 广大 1.000000 
207 fa4-zhan3-zhong1-guo2-jia1 218 发展中国家 1.000000 
208 you3-hao3 219 友好 1.000000 
209 jia1-qiang2 220 加强 1.000000 
210 ji1-ji2 221 积极 1.000000 
211 can1-yv4 222 参与 1.000000 
212 ya4-tai4 223 亚太 1.000000 
213 jing1-he2 224 经合 1.000000 
214 zu3-zhi1 225 组织 1.000000 
215 huo2-dong4 226 活动 1.000000 
216 can1-jia1 227 参加 1.000000 
217 dong1-meng2 228 东盟 1.000000 
218 pn4 8 — 0.961538 
218 pn4 5323 · 0.038462 
219 ri4 229 日 1.000000 
220 han2 230 韩 1.000000 
221 shou3-nao3 231 首脑 1.000000 
222 fei1-zheng4-shi4 232 非正式 1.000000 
223 hui4-wu4 233 会晤 1.000000 
224 fu2-he2 234 符合 1.000000 
225 he2-ping2 235 和平 1.000000 
226 shi2-dai4 236 时代 1.000000 
227 zhu3-ti2 237 主题 1.000000 
228 shun4-ying4 238 顺应 1.000000 
229 zou3-xiang4 239 走向 1.000000 
230 duo1-ji2-hua4 240 多极化 1.000000 
231 qv1-shi4 241 趋势 1.000000 
232 dui4-yv2 242 对于 1.000000 
233 cu4-jin4 243 促进 1.000000 
234 she4-hui4 244 社会 1.000000 
235 gong4-tong2 245 共同 1.000000 
236 zuo4-chu1 246 作出 0.869565 
236 zuo4-chu1 1383 做出 0.130435 
237 gong4-xian4 247 贡献 1.000000 
238 jiang1 248 将 0.954887 
238 jiang1 1604 江 0.045113 
239 man3-huai2-xin4-xin1 249 满怀信心 1.000000 
240 kai1-chuang4 250 开创 1.000000 
241 ye4-ji4 251 业绩 1.000000 
242 jin3-guan3 252 尽管 1.000000 
243 hai2 253 还 0.982759 
243 hai2 6594 孩 0.017241 
244 mian4-lin2 254 面临 1.000000 
245 bu4-shao3 255 不少 1.000000 
246 kun4-nan5 256 困难 1.000000 
247 dan4 257 但 0.975610 
247 dan4 5828 蛋 0.024390 
248 zhi3-yin3 258 指引 1.000000 
249 jin4 259 近 0.656250 
249 jin4 2417 尽 0.093750 
249 jin4 3203 进 0.218750 
249 jin4 4353 浸 0.031250 
250 er4-ling2-nian2 260 ２０年 1.000000 
251 lai2 261 来 1.000000 
252 cheng2-jiu4 262 成就 1.000000 
253 ji1-lei3 263 积累 1.000000 
254 feng1-fu4 264 丰富 1.000000 
255 jing1-yan4 265 经验 1.000000 
256 hai2-you3 266 还有 1.000000 
257 ge4-zhong3 267 各种 1.000000 
258 you3-li4 268 有利 0.571429 
258 you3-li4 2428 有力 0.428571 
259 tiao2-jian4 269 条件 1.000000 
260 yi2-ding4 270 一定 1.000000 
261 neng2-gou4 271 能够 1.000000 
262 ke4-fu2 272 克服 1.000000 
263 wen3-bu4-qian2-jin4 273 稳步前进 1.000000 
264 zhi3-yao4 274 只要 1.000000 
265 jie3-fang4-si1-xiang3 275 解放思想 1.000000 
266 shi2-shi4-qiu2-shi4 276 实事求是 1.000000 
267 zhua1-zhu4 277 抓住 1.000000 
268 ji1-yv4 278 机遇 1.000000 
269 kai1-tuo4-jin4-qv3 279 开拓进取 1.000000 
270 dao4-lu4 280 道路 1.000000 
271 jiu4 281 就 0.987500 
271 jiu4 366 旧 0.012500 
272 yve4 282 越 0.294118 
272 yve4 1229 份 0.058824 
272 yve4 3237 月 0.588235 
272 yve4 6560 跃 0.058824 
273 zou3 283 走 1.000000 
274 kuan1-guang3 284 宽广 1.000000 
275 shi2-xian4 285 实现 1.000000 
276 zu3-guo2 286 祖国 1.000000 
277 wan2-qvan2 287 完全 1.000000 
278 tong3-yi1 288 统一 1.000000 
279 hai3-nei4-wai4 289 海内外 1.000000 
280 qvan2-ti3 290 全体 1.000000 
281 ren2 291 人 1.000000 
282 xin1-yvan4 292 心愿 1.000000 
283 pu2 293 葡 1.000000 
284 ji1-ben3-fa3 294 基本法 1.000000 
285 yi1-jiu3-jiu3-jiu3-nian2 295 １９９９年 0.666667 
285 yi1-jiu3-jiu3-jiu3-nian2 4041 一九九九年 0.333333 
286 hui2-gui1 296 回归 1.000000 
287 ling3-tu3 297 领土 1.000000 
288 bu4-ke3-fen1-ge1 298 不可分割 1.000000 
289 yi1-bu4-fen5 299 一部分 1.000000 
290 wan2-cheng2 300 完成 1.000000 
291 da4-shi4-suo3-qv1 301 大势所趋 1.000000 
292 min2-xin1-suo3-xiang4 302 民心所向 1.000000 
293 ren4-he2 303 任何 1.000000 
294 qi3-tu2 304 企图 1.000000 
295 zhi4-zao4 305 制造 1.000000 
296 liang3 306 两 1.000000 
297 ge4 307 个 0.769841 
297 ge4 497 各 0.230159 
298 yi1-zhong1-yi1-tai2 308 一中一台 1.000000 
299 du2-li4 309 独立 1.000000 
300 tu2-mou2 310 图谋 1.000000 
301 zhu4-ding4 311 注定 1.000000 
302 yao4 312 要 0.990741 
302 yao4 6265 药 0.009259 
303 shi1-bai4 313 失败 1.000000 
304 dang1-jv2 314 当局 1.000000 
305 yi3 315 以 0.654545 
305 yi3 924 已 0.345455 
306 min2-zu2 316 民族 1.000000 
307 da4-yi4 317 大义 1.000000 
308 wei2-zhong4 318 为重 1.000000 
309 na2 319 拿 1.000000 
310 chu1 320 出 0.914894 
310 chu1 1883 初 0.085106 
311 cheng2-yi4 321 诚意 1.000000 
312 cai3-qv3 322 采取 1.000000 
313 shi2-ji4 323 实际 1.000000 
314 tui1-dong4 324 推动 1.000000 
315 liang3-an4 325 两岸 1.000000 
316 wen2-hua4 326 文化 1.000000 
317 ren2-yvan2 327 人员 1.000000 
318 wang3-lai2 328 往来 1.000000 
319 zhi2-jie1 329 直接 1.000000 
320 tong1-you2 330 通邮 1.000000 
321 tong1-hang2 331 通航 1.000000 
322 tong1-shang1 332 通商 1.000000 
323 zao3-ri4 333 早日 1.000000 
324 jin4-zao3 334 尽早 1.000000 
325 hui2-ying4 335 回应 1.000000 
326 fa1-chu1 336 发出 1.000000 
327 yvan2-ze2 337 原则 1.000000 
328 xia4 338 下 0.984615 
328 xia4 3387 夏 0.015385 
329 jin4-xing2 339 进行 1.000000 
330 tan2-pan4 340 谈判 1.000000 
331 zheng4-zhong4 341 郑重 1.000000 
332 hu1-yv4 342 呼吁 1.000000 
333 huan2-gu4 343 环顾 1.000000 
334 qvan2-qiu2 344 全球 1.000000 
335 ri4-yi4 345 日益 1.000000 
336 mi4-qie4 346 密切 1.000000 
337 lian2-xi4 347 联系 1.000000 
338 ri4-xin1-yve4-yi4 348 日新月异 1.000000 
339 ke1-ji4 349 科技 1.000000 
340 jin4-bu4 350 进步 1.000000 
341 zheng4-zai4 351 正在 1.000000 
342 wei4 352 为 0.782051 
342 wei4 751 位 0.192308 
342 wei4 2496 未 0.025641 
343 ti2-gong1 353 提供 1.000000 
344 dan4-shi4 354 但是 1.000000 
345 an1-ning2 355 安宁 1.000000 
346 nan2-bei3 356 南北 1.000000 
347 zhi1-jian1 357 之间 1.000000 
348 pin2-fu4 358 贫富 1.000000 
349 cha1-jv4 359 差距 1.000000 
350 jv2-bu4 361 局部 1.000000 
351 chong1-tu1 362 冲突 1.000000 
352 shi2-you3-fa1-sheng1 363 时有发生 1.000000 
353 gong1-zheng4 364 公正 1.000000 
354 he2-li3 365 合理 1.000000 
355 zheng4-zhi4 367 政治 1.000000 
356 zhi4-xv4 368 秩序 1.000000 
357 mei2-you3 369 没有 1.000000 
358 gen1-ben3 370 根本 1.000000 
359 gai3-bian4 371 改变 1.000000 
360 ji1-lie4 372 激烈 1.000000 
361 jing4-zheng1 373 竞争 1.000000 
362 reng2 374 仍 1.000000 
363 chu3-yv2 375 处于 1.000000 
364 ruo4-shi4 376 弱势 0.500000 
364 ruo4-shi4 3810 若是 0.500000 
365 di4-wei4 377 地位 1.000000 
366 ren2-lei4 378 人类 1.000000 
367 sheng1-cun2 379 生存 1.000000 
368 zhong3-zhong3 380 种种 1.000000 
369 wei1-xie2 381 威胁 1.000000 
370 tiao3-zhan4 382 挑战 1.000000 
371 qian2-jing3 383 前景 1.000000 
372 guang1-ming2 384 光明 1.000000 
373 er4-yi1 385 ２１ 1.000000 
374 bu2 84 不 1.000000 
375 ye3 386 也 1.000000 
376 ke3-neng2 387 可能 1.000000 
377 yi4-fan1-feng1-shun4 388 一帆风顺 1.000000 
378 guan1-jian4 389 关键 1.000000 
379 tuan2-jie2 390 团结 1.000000 
380 qi3-lai2 391 起来 1.000000 
381 jian4-li4 392 建立 1.000000 
382 jian1-chi2 393 坚持 1.000000 
383 feng4-xing2 394 奉行 1.000000 
384 du2-li4-zi4-zhu3 395 独立自主 1.000000 
385 zheng4-ce4 396 政策 1.000000 
386 he2-ping2-gong4-chu3 397 和平共处 1.000000 
387 wu3 398 五 0.459459 
387 wu3 1078 舞 0.027027 
387 wu3 1254 ５ 0.459459 
387 wu3 4690 伍 0.027027 
387 wu3 7378 ５％ 0.027027 
388 ji1-chu3 400 基础 1.000000 
389 tong2 401 同 1.000000 
390 yvan4-yi4 402 愿意 1.000000 
391 lian2-he2-guo2 403 联合国 1.000000 
392 xie2-tiao2 404 协调 1.000000 
393 jing1-mao4 405 经贸 1.000000 
394 bao3-hu4-huan2-jing4 406 保护环境 1.000000 
395 xiao1-chu2 407 消除 1.000000 
396 pin2-kun4 408 贫困 1.000000 
397 da3-ji1 409 打击 1.000000 
398 fan4-zui4 410 犯罪 1.000000 
399 fang1-mian4 411 方面 1.000000 
400 yong3-yvan3 412 永远 1.000000 
401 wei2-hu4 413 维护 1.000000 
402 li4-liang4 414 力量 1.000000 
403 yvan4 415 愿 0.900000 
403 yvan4 4287 院 0.100000 
404 yi2-dao4 416 一道 1.000000 
405 chi2-jiu3 417 持久 1.000000 
406 er2 418 而 1.000000 
407 bu4-xie4-nu3-li4 419 不懈努力 1.000000 
408 ci2-jiu4-ying2-xin1 420 辞旧迎新 1.000000 
409 mei3-hao3 421 美好 1.000000 
410 shi2-ke4 422 时刻 1.000000 
411 zhu4 423 祝 0.250000 
411 zhu4 2160 驻 0.638889 
411 zhu4 3407 住 0.055556 
411 zhu4 5707 筑 0.027778 
411 zhu4 7221 助 0.027778 
412 da4-jia1 424 大家 1.000000 
413 kuai4-le4 425 快乐 1.000000 
414 jia1-ting2 426 家庭 1.000000 
415 xing4-fu2 427 幸福 1.000000 
416 xie4-xie5 428 谢谢 1.000000 
417 bei3-jing1 429 北京 1.000000 
418 dian4 430 电 1.000000 
419 shi2-wu3-da4 431 十五大 1.000000 
420 jing1-shen2 432 精神 1.000000 
421 sheng4-li4 433 胜利 1.000000 
422 yvan2-dan4 434 元旦 1.000000 
423 xian4-ci2 435 献辞 0.750000 
423 xian4-ci2 4831 献词 0.250000 
424 ji2-jiang1 436 即将 1.000000 
425 feng1-shou1 437 丰收 1.000000 
426 xi3-yve4 438 喜悦 1.000000 
427 song4 439 送 0.933333 
427 song4 768 颂 0.066667 
428 niu2-nian2 440 牛年 1.000000 
429 ang2-yang2 441 昂扬 1.000000 
430 dou4-zhi4 442 斗志 1.000000 
431 ying2-lai2 443 迎来 1.000000 
432 hu3-nian2 444 虎年 1.000000 
433 sheng1-ji1 445 生机 1.000000 
434 gang1-gang1 446 刚刚 1.000000 
435 guo4-qv4 447 过去 1.000000 
436 da4-qi4-bang4-bo2 448 大气磅礴 1.000000 
437 bo1-lan2-zhuang4-kuo4 449 波澜壮阔 1.000000 
438 wei2 352 为 0.977778 
438 wei2 3839 围 0.022222 
439 he2-xin1 450 核心 1.000000 
440 dang3-zhong1-yang1 451 党中央 1.000000 
441 ling3-dao3 452 领导 1.000000 
442 qvan2-dang3 453 全党 1.000000 
443 jian1-ding4-bu4-yi2 454 坚定不移 1.000000 
444 yan2-zhe5 455 沿着 1.000000 
445 kuo4-bu4 456 阔步 1.000000 
446 xie3-xia4 457 写下 1.000000 
447 hui1-huang2 458 辉煌 1.000000 
448 pian1-zhang1 459 篇章 1.000000 
449 dang3 460 党 1.000000 
450 jian4 461 件 0.428571 
450 jian4 1055 建 0.228571 
450 jian4 2833 见 0.228571 
450 jian4 5268 剑 0.028571 
450 jian4 5870 践 0.028571 
450 jian4 7223 渐 0.028571 
450 jian4 7804 鉴 0.028571 
451 da4-shi4 462 大事 1.000000 
452 ban4 463 办 0.277778 
452 ban4 3112 半 0.666667 
452 ban4 7536 伴 0.055556 
453 yvan2-man3 465 圆满 1.000000 
454 wen3-zhong1-qiu2-jin4 466 稳中求进 1.000000 
455 shi2-li4 467 实力 1.000000 
456 zeng1-qiang2 468 增强 1.000000 
457 wei1-ji1 469 危机 1.000000 
458 feng1-lang4 470 风浪 1.000000 
459 bo1-ji2 471 波及 1.000000 
460 xv3-duo1 472 许多 1.000000 
461 wo3-guo2 473 我国 1.000000 
462 xing2-shi4 474 形势 0.653846 
462 xing2-shi4 2354 形式 0.346154 
463 zheng3-ge4 475 整个 1.000000 
464 cheng2-ji4 476 成绩 1.000000 
465 qvan2-mian4 477 全面 1.000000 
466 ke3-xi3 478 可喜 1.000000 
467 tu1-po4 479 突破 1.000000 
468 wei1-wang4 480 威望 1.000000 
469 jin4-yi2-bu4-ti2-gao1 481 进一步提高 1.000000 
470 shi2-jian4 482 实践 1.000000 
471 shi3 483 使 0.828125 
471 shi3 2342 始 0.031250 
471 shi3 6414 史 0.140625 
472 yi4 484 亿 0.500000 
472 yi4 742 一 0.300000 
472 yi4 1984 意 0.100000 
472 yi4 4598 亦 0.100000 
473 wan4 485 万 1.000000 
474 geng4-jia1 486 更加 1.000000 
475 xin4-yang3 487 信仰 1.000000 
476 xin4-lai4 488 信赖 1.000000 
477 guang1-hui1 489 光辉 1.000000 
478 xin4-xin1 490 信心 1.000000 
479 guan4-che4 491 贯彻 1.000000 
480 luo4-shi2 492 落实 1.000000 
481 ti2-chu1 493 提出 1.000000 
482 ren4-wu4 494 任务 1.000000 
483 di4-yi1 495 第一 1.000000 
484 nian2 496 年 1.000000 
485 tiao2 498 条 0.937500 
485 tiao2 7168 调 0.062500 
486 zhan4-xian4 499 战线 1.000000 
487 fan2-zhong4 500 繁重 1.000000 
488 shen1 501 深 0.750000 
488 shen1 4911 身 0.250000 
489 ceng2-ci4 502 层次 1.000000 
490 mao2-dun4 503 矛盾 1.000000 
491 wen4-ti2 504 问题 1.000000 
492 you3-dai4 505 有待 1.000000 
493 jie3-jve2 506 解决 1.000000 
494 te4-bie2 507 特别 1.000000 
495 guo2-you3 508 国有 1.000000 
496 yi3-jing1 509 已经 1.000000 
497 jin4-ru4 510 进入 1.000000 
498 gong1-jian1 511 攻坚 1.000000 
499 jie1-duan4 512 阶段 1.000000 
500 bi4-xv1 513 必须 1.000000 
501 shen1-ru4 514 深入 1.000000 
502 xve2-xi2 515 学习 1.000000 
503 zhang3-wo4 516 掌握 1.000000 
504 tong3-lan3-qvan2-jv2 517 统揽全局 1.000000 
505 jing1-xin1 518 精心 1.000000 
506 bu4-shu3 519 部署 1.000000 
507 hen3-zhua1 520 狠抓 1.000000 
508 jian1-ku3-fen4-dou4 522 艰苦奋斗 1.000000 
509 kai1-tuo4 523 开拓 1.000000 
510 duo2-qv3 524 夺取 1.000000 
511 jin1-nian2 525 今年 1.000000 
512 fen4-dou4 526 奋斗 1.000000 
513 shi2-yi1 527 十一 1.000000 
514 jie4 528 届 0.900000 
514 jie4 7420 戒 0.100000 
515 san1-zhong1-qvan2-hui4 529 三中全会 1.000000 
516 er4-ling2 530 ２０ 0.916667 
516 er4-ling2 2018 ２０％ 0.083333 
517 zhou1-nian2 531 周年 1.000000 
518 zhuan3-zhe2 532 转折 1.000000 
519 li3 533 里 0.983871 
519 li3 3891 哩 0.016129 
520 da4-li4 534 大力 1.000000 
521 fa1-yang2 535 发扬 1.000000 
522 yi3-lai2 536 以来 1.000000 
523 suo3 537 所 1.000000 
524 you1-liang2 538 优良 1.000000 
525 chuan2-tong3 539 传统 1.000000 
526 xing2-cheng2 540 形成 1.000000 
527 zuo4-feng1 541 作风 1.000000 
528 jv4-you3 542 具有 1.000000 
529 yi4-yi4 543 意义 1.000000 
530 geng4 544 更 1.000000 
531 si1-xiang3 545 思想 1.000000 
